ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;TIPO;TOTAL_ELEM
"17849";"Área Infantil";"143";"MARROQUINA";"14";"MORATALAZ";"OPERATIVO";"445277.838";"4473473.834";"ETRS89";40.41008436;-3.64494974;"CALLE";"MARROQUINA";"84 B";"28030";"MARROQUINA, 000084  B";"31044627";"2003-01-01 00:00:00.0";"14034";"AE21";"INFANTIL";18
"17851";"Área Infantil";"143";"MARROQUINA";"14";"MORATALAZ";"OPERATIVO";"444803.742";"4473283.75";"ETRS89";40.40834067;-3.65052056;"CALLE";"MARROQUINA";"25";"28030";"MARROQUINA, 000025";"11101602";"2008-01-01 00:00:00.0";"14036";"AE21";"INFANTIL";22
"17853";"Área Infantil";"143";"MARROQUINA";"14";"MORATALAZ";"OPERATIVO";"445781.626";"4473499.269";"ETRS89";40.41034646;-3.63901467;"CALLE";"JOSE BERGAMIN";"1";"28030";"JOSÉ BERGAMÍN, 000001";"20158243";"2003-01-01 00:00:00.0";"14038";"AE21";"INFANTIL";17
"17855";"Área Infantil";"143";"MARROQUINA";"14";"MORATALAZ";"OPERATIVO";"445776.64";"4473602.074";"ETRS89";40.41127226;-3.63908219;"CALLE";"JOSE BERGAMIN";"28";"28030";"JOSÉ BERGAMÍN, 000028";"11101388";"2003-01-01 00:00:00.0";"14040";"AE21";"INFANTIL";12
"17857";"Área Infantil";"143";"MARROQUINA";"14";"MORATALAZ";"OPERATIVO";"445731.82";"4473610.005";"ETRS89";40.41134079;-3.63961109;"CALLE";"JOSE BERGAMIN";"30";"28030";"JOSÉ BERGAMÍN, 000030";"11101389";"2003-01-01 00:00:00.0";"14044";"AE21";"INFANTIL";11
"17859";"Área Infantil";"143";"MARROQUINA";"14";"MORATALAZ";"OPERATIVO";"446290.433";"4473481.848";"ETRS89";40.41022250;-3.63301677;"CALLE";"FLORENCIO CANO CRISTOBAL";"6 F";"28030";"FLORENCIO CANO CRISTÓBAL, 000007";"20102043";"2003-01-01 00:00:00.0";"14048";"AE21";"INFANTIL";12
"17861";"Área Infantil";"146";"VINATEROS";"14";"MORATALAZ";"OPERATIVO";"445843.155";"4472720.92";"ETRS89";40.40333862;-3.63822329;"CALLE";"LUIS DE HOYOS SAINZ";"80 B";"28030";"LUIS DE HOYOS SAINZ, 000080  B";"31050877";"2006-01-01 00:00:00.0";"14052";"AE21";"INFANTIL";16
"17863";"Área Infantil";"146";"VINATEROS";"14";"MORATALAZ";"OPERATIVO";"445547.514";"4473009.021";"ETRS89";40.40591473;-3.64173178;"CALLE";"PICO DE LOS ARTILLEROS";"116";"28030";"PICO DE LOS ARTILLEROS, 000116";"11103267";"2006-01-01 00:00:00.0";"14056";"AE21";"INFANTIL";14
"17841";"Área Infantil";"144";"MEDIA LEGUA";"14";"MORATALAZ";"OPERATIVO";"444425.365";"4473718.156";"ETRS89";40.41222887;-3.65501762;"CALLE";"PRIMAVERA DE PRAGA";"22";"28030";"PRIMAVERA DE PRAGA, 000022";"20141879";"2003-01-01 00:00:00.0";"14025";"AE21";"INFANTIL";19
"17843";"Área Infantil";"144";"MEDIA LEGUA";"14";"MORATALAZ";"OPERATIVO";"444249.51";"4473402.192";"ETRS89";40.40937073;-3.65706248;"CALLE";"CORREGIDOR MENDO DE ZUÑIGA";"11";"28030";"CORREGIDOR MENDO DE ZÚÑIGA, 000011";"31003224";"2005-01-01 00:00:00.0";"14027";"AE21";"INFANTIL";13
"17845";"Área Infantil";"143";"MARROQUINA";"14";"MORATALAZ";"OPERATIVO";"445066.611";"4473457.148";"ETRS89";40.40992013;-3.64743765;"CALLE";"MARROQUINA";"55";"28030";"MARROQUINA, 000055";"11101490";"1996-01-01 00:00:00.0";"14030";"AE21";"INFANTIL";13
"17846";"Área Infantil";"143";"MARROQUINA";"14";"MORATALAZ";"OPERATIVO";"445273.438";"4473324.421";"ETRS89";40.40873807;-3.64498874;"AVENIDA";"MORATALAZ";"168";"28030";"AVDA MORATALAZ, 000168";"11103210";"2003-01-01 00:00:00.0";"14031";"AE21";"INFANTIL";10
"17848";"Área Infantil";"144";"MEDIA LEGUA";"14";"MORATALAZ";"OPERATIVO";"444114.715";"4474041.594";"ETRS89";40.41512178;-3.65870721;"CALLE";"FELIX RODRIGUEZ DE LA FUENTE";"65";"28030";"FÉLIX RODRÍGUEZ DE LA FUENTE, 000065";"11102086";"2006-01-01 00:00:00.0";"14033";"AE21";"INFANTIL";9
"17850";"Área Infantil";"143";"MARROQUINA";"14";"MORATALAZ";"OPERATIVO";"445298.266";"4473408.62";"ETRS89";40.40949821;-3.64470339;"CALLE";"AUGUSTO GONZALEZ BESADA";"24";"28030";"AUGUSTO GONZÁLEZ BESADA, 000024";"11101461";"2006-01-01 00:00:00.0";"14035";"AE21";"INFANTIL";10
"17852";"Área Infantil";"143";"MARROQUINA";"14";"MORATALAZ";"OPERATIVO";"445811.727";"4473407.434";"ETRS89";40.40952111;-3.63865210;"CALLE";"JOSE BERGAMIN";"6";"28030";"JOSÉ BERGAMÍN, 000006";"11101380";"2006-01-01 00:00:00.0";"14037";"AE21";"INFANTIL";11
"17854";"Área Infantil";"143";"MARROQUINA";"14";"MORATALAZ";"OPERATIVO";"445747.197";"4473490.702";"ETRS89";40.41026704;-3.63941969;"CALLE";"JOSE BERGAMIN";"1";"28030";"JOSÉ BERGAMÍN, 000001";"20158243";"2003-01-01 00:00:00.0";"14039";"AE21";"INFANTIL";14
"17856";"Área Infantil";"143";"MARROQUINA";"14";"MORATALAZ";"OPERATIVO";"445801.794";"4473301.579";"ETRS89";40.40856686;-3.63876014;"CALLE";"MOLINA DE SEGURA";"2";"28030";"MOLINA DE SEGURA, 000002";"20158916";"2006-01-01 00:00:00.0";"14041";"AE21";"INFANTIL";22
"17858";"Área Infantil";"143";"MARROQUINA";"14";"MORATALAZ";"OPERATIVO";"445756.301";"4473604.166";"ETRS89";40.41128978;-3.63932207;"CALLE";"JOSE BERGAMIN";"30";"28030";"JOSÉ BERGAMÍN, 000030";"11101389";"2003-01-01 00:00:00.0";"14045";"AE21";"INFANTIL";14
"17860";"Área Infantil";"142";"HORCAJO";"14";"MORATALAZ";"OPERATIVO";"446737.53";"4473271.335";"ETRS89";40.40835480;-3.62773000;"CALLE";"RABAT";"22";"28030";"RABAT, 000022";"20125206";"2004-01-01 00:00:00.0";"14049";"AE21";"INFANTIL";16
"17862";"Área Infantil";"146";"VINATEROS";"14";"MORATALAZ";"OPERATIVO";"445539.198";"4473139.294";"ETRS89";40.40708776;-3.64184093;"CALLE";"CAMINO DE LOS VINATEROS";"143";"28030";"CAMINO DE LOS VINATEROS, 000143";"11103253";"2006-01-01 00:00:00.0";"14054";"AE21";"INFANTIL";17
"17864";"Área Infantil";"146";"VINATEROS";"14";"MORATALAZ";"OPERATIVO";"445191.938";"4473053.541";"ETRS89";40.40629246;-3.64592589;"CALLE";"CAMINO DE LOS VINATEROS";"134";"28030";"CAMINO DE LOS VINATEROS, 000134";"11103187";"2006-01-01 00:00:00.0";"14057";"AE21";"INFANTIL";6
"17866";"Área Infantil";"146";"VINATEROS";"14";"MORATALAZ";"OPERATIVO";"445357.595";"4472992.167";"ETRS89";40.40575045;-3.64396843;"CALLE";"CAÑADA";"48";"28030";"CAÑADA, 000048";"11103028";"2007-01-01 00:00:00.0";"14059";"AE21";"INFANTIL";21
"17868";"Área Infantil";"146";"VINATEROS";"14";"MORATALAZ";"OPERATIVO";"445239.787";"4472776.02";"ETRS89";40.40379553;-3.64533813;"CALLE";"HACIENDA DE PAVONES";"101";"28030";"HACIENDA DE PAVONES, 000101";"11103108";"2006-01-01 00:00:00.0";"14061";"AE21";"INFANTIL";14
"17869";"Área Infantil";"145";"FONTARRON";"14";"MORATALAZ";"OPERATIVO";"445121.222";"4472672.11";"ETRS89";40.40285164;-3.64672635;"CALLE";"HACIENDA DE PAVONES";"24";"28030";"HACIENDA DE PAVONES, 000024";"11102319";"2006-01-01 00:00:00.0";"14062";"AE21";"INFANTIL";18
"17873";"Área Infantil";"145";"FONTARRON";"14";"MORATALAZ";"OPERATIVO";"445773.691";"4472539.237";"ETRS89";40.40169739;-3.63902638;"CALLE";"HACIENDA DE PAVONES";"250";"28030";"HACIENDA DE PAVONES, 000250";"11102815";"2000-01-01 00:00:00.0";"14067";"AE21";"INFANTIL";13
"17875";"Área Infantil";"145";"FONTARRON";"14";"MORATALAZ";"OPERATIVO";"445872.376";"4472434.222";"ETRS89";40.40075777;-3.63785457;"CALLE";"HACIENDA DE PAVONES";"310";"28030";"HACIENDA DE PAVONES, 000310";"11102863";"2006-01-01 00:00:00.0";"14069";"AE21";"INFANTIL";6
"17877";"Área Infantil";"145";"FONTARRON";"14";"MORATALAZ";"OPERATIVO";"445917.869";"4472365.892";"ETRS89";40.40014517;-3.63731270;"CALLE";"FUENTE CARRANTONA";"7";"28030";"FUENTE CARRANTONA, 000007";"20157921";"2007-01-01 00:00:00.0";"14072";"AE21";"INFANTIL";24
"17879";"Área Infantil";"141";"PAVONES";"14";"MORATALAZ";"OPERATIVO";"446002.626";"4472009.144";"ETRS89";40.39693686;-3.63628371;"CALLE";"ENCOMIENDA DE PALACIOS";"330";"28030";"ENCOMIENDA DE PALACIOS, 000330";"11101281";"2004-01-01 00:00:00.0";"14074";"AE21";"INFANTIL";19
"17881";"Área Infantil";"141";"PAVONES";"14";"MORATALAZ";"OPERATIVO";"446276.144";"4472385.156";"ETRS89";40.40034190;-3.63309260;"CALLE";"HACIENDA DE PAVONES";"255";"28030";"HACIENDA DE PAVONES, 000255";"11101293";"2006-01-01 00:00:00.0";"14076";"AE21";"INFANTIL";18
"17883";"Área Infantil";"141";"PAVONES";"14";"MORATALAZ";"OPERATIVO";"446332.109";"4472699.214";"ETRS89";40.40317474;-3.63245961;"CALLE";"VALDEBERNARDO";"37";"28030";"VALDEBERNARDO, 000037";"11101323";"2003-01-01 00:00:00.0";"14078";"AE21";"INFANTIL";13
"17885";"Área Infantil";"146";"VINATEROS";"14";"MORATALAZ";"OPERATIVO";"446027.484";"4472556.306";"ETRS89";40.40186765;-3.63603720;"CALLE";"FUENTE CARRANTONA";"9";"28030";"FUENTE CARRANTONA, 000009";"20142023";"2005-01-01 00:00:00.0";"14081";"AE21";"INFANTIL";22
"17887";"Área Infantil";"144";"MEDIA LEGUA";"14";"MORATALAZ";"OPERATIVO";"443854.37";"4473619.484";"ETRS89";40.41130166;-3.66173839;"CALLE";"RAMON ARECES";"16";"28030";"RAMÓN ARECES, 000016";"11102117";"2007-05-07 00:00:00.0";"14083";"AE21";"INFANTIL";16
"17889";"Área Infantil";"143";"MARROQUINA";"14";"MORATALAZ";"OPERATIVO";"445795.037";"4473331.681";"ETRS89";40.40883760;-3.63884234;"CALLE";"MOLINA DE SEGURA";"2";"28030";"MOLINA DE SEGURA, 000002";"20158916";"2006-01-01 00:00:00.0";"14085";"AE21";"INFANTIL";20
"17891";"Área Infantil";"145";"FONTARRON";"14";"MORATALAZ";"OPERATIVO";"444982.689";"4472422.811";"ETRS89";40.40059666;-3.64833727;"CALLE";"ARROYO FONTARRON";"83";"28030";"ARROYO FONTARRÓN, 000083";"11102266";"2006-01-01 00:00:00.0";"14090";"AE21";"INFANTIL";18
"17865";"Área Infantil";"146";"VINATEROS";"14";"MORATALAZ";"OPERATIVO";"445175.795";"4472961.936";"ETRS89";40.40546616;-3.64610823;"CALLE";"CAÑADA";"25";"28030";"CAÑADA, 000025";"11103084";"2003-01-01 00:00:00.0";"14058";"AE21";"INFANTIL";16
"17867";"Área Infantil";"146";"VINATEROS";"14";"MORATALAZ";"OPERATIVO";"445348.373";"4472890.222";"ETRS89";40.40483147;-3.64406835;"CALLE";"CAÑADA";"30";"28030";"CAÑADA, 000030";"11103039";"2011-02-06 00:00:00.0";"14060";"AE21";"INFANTIL";8
